time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-29 00:00:00+00:00,33,9,486,95
2024-01-30 00:00:00+00:00,59,18,1065,175
2024-01-31 00:00:00+00:00,74,16,1358,271
2024-02-01 00:00:00+00:00,61,19,1077,226
2024-02-02 00:00:00+00:00,68,22,927,198
2024-02-03 00:00:00+00:00,42,11,269,84
2024-02-04 00:00:00+00:00,16,9,376,90
2024-02-05 00:00:00+00:00,24,14,764,121
2024-02-06 00:00:00+00:00,44,14,640,129
2024-02-07 00:00:00+00:00,52,12,576,107
2024-02-08 00:00:00+00:00,52,13,314,76
2024-02-09 00:00:00+00:00,32,13,530,92
2024-02-10 00:00:00+00:00,5,5,139,46
2024-02-11 00:00:00+00:00,12,8,148,51
